id,classes
1,4
2,2
3,4
4,3
5,3
6,1
7,2
8,3
9,4
10,3
11,3
12,3
13,3
14,3
15,4
16,4
17,3
18,3
19,1
20,4
21,1
22,1
23,2
24,4
25,2
26,1
27,4
28,2
29,3
30,2
31,4
32,4
33,3
34,4
35,1
36,2
37,2
38,1
39,4
40,2
41,3
42,3
43,2
44,4
45,2
46,4
47,2
48,4
49,3
50,2
51,3
52,3
53,1
54,4
55,3
56,4
57,3
58,2
59,4
60,4
61,3
62,3
63,1
64,2
65,3
66,3
67,4
68,1
69,2
70,4
71,1
72,4
73,4
74,2
75,4
76,4
77,3
78,1
79,1
80,1
81,2
82,3
83,2
84,4
85,1
86,2
87,4
88,2
89,2
90,2
91,1
92,1
93,1
94,1
95,3
96,1
97,4
98,2
99,4
100,1
101,1
102,3
103,2
104,1
105,2
106,3
107,4
108,3
109,3
110,1
111,2
112,3
113,2
114,3
115,1
116,4
117,3
118,3
119,3
120,1
121,4
122,1
123,4
124,2
125,2
126,3
127,4
128,3
129,3
130,2
131,1
132,4
133,1
134,4
135,3
136,3
137,1
138,2
139,2
140,3
141,4
142,2
143,1
144,2
145,3
146,1
147,3
148,4
149,3
150,2
151,3
152,1
153,4
154,4
155,3
156,3
157,1
158,3
159,3
160,2
161,3
162,1
163,2
164,4
165,1
166,2
167,3
168,2
169,1
170,4
171,1
172,1
173,2
174,2
175,3
176,4
177,3
178,4
179,2
180,3
181,3
182,1
183,4
184,1
185,3
186,3
187,1
188,2
189,1
190,3
191,1
192,2
193,3
194,1
195,4
196,1
197,1
198,2
199,1
200,4
201,3
202,1
203,3
204,2
205,2
206,4
207,4
208,1
209,2
210,3
211,1
212,3
213,2
214,1
215,3
216,4
217,3
218,2
219,2
220,4
221,4
222,3
223,3
224,2
225,4
226,4
227,2
228,3
