id,classes
1,4
2,2
3,4
4,3
5,4
6,2
7,2
8,3
9,4
10,4
11,1
12,3
13,1
14,3
15,4
16,4
17,3
18,3
19,1
20,4
21,2
22,1
23,4
24,4
25,1
26,1
27,4
28,3
29,3
30,1
31,1
32,4
33,3
34,4
35,3
36,4
37,2
38,2
39,4
40,2
41,2
42,3
43,1
44,4
45,4
46,4
47,3
48,4
49,3
50,2
51,2
52,3
53,1
54,4
55,2
56,4
57,1
58,2
59,4
60,1
61,2
62,3
63,2
64,2
65,2
66,3
67,4
68,1
69,1
70,4
71,2
72,4
73,1
74,2
75,4
76,3
77,3
78,2
79,1
80,2
81,2
82,3
83,3
84,4
85,1
86,4
87,4
88,1
89,1
90,1
91,1
92,1
93,2
94,2
95,3
96,3
97,4
98,2
99,4
100,1
101,1
102,3
103,3
104,2
105,1
106,3
107,4
108,4
109,3
110,2
111,4
112,4
113,1
114,3
115,2
116,4
117,1
118,2
119,3
120,2
121,4
122,3
123,4
124,2
125,3
126,1
127,4
128,2
129,3
130,3
131,1
132,2
133,1
134,4
135,3
136,4
137,4
138,2
139,2
140,3
141,1
142,2
143,1
144,4
145,1
146,2
147,2
148,4
149,2
150,2
151,4
152,1
153,4
154,1
155,1
156,3
157,4
158,2
159,4
160,2
161,2
162,2
163,1
164,4
165,2
166,3
167,1
168,2
169,3
170,3
171,1
172,2
173,1
174,4
175,3
176,4
177,3
178,4
179,2
180,3
181,3
182,3
183,4
184,1
185,3
186,3
187,1
188,3
189,2
190,3
191,1
192,2
193,1
194,2
195,4
196,3
197,2
198,2
199,4
200,4
201,3
202,1
203,2
204,1
205,1
206,4
207,4
208,2
209,2
210,3
211,1
212,4
213,2
214,4
215,3
216,4
217,3
218,1
219,2
220,4
221,4
222,3
223,4
224,1
225,4
226,4
227,2
228,3
