id,classes
1,4
2,1
3,4
4,3
5,2
6,2
7,2
8,3
9,4
10,4
11,1
12,3
13,1
14,3
15,2
16,4
17,3
18,3
19,1
20,4
21,1
22,1
23,3
24,4
25,1
26,1
27,4
28,3
29,3
30,2
31,1
32,2
33,3
34,4
35,3
36,2
37,1
38,2
39,4
40,2
41,2
42,3
43,1
44,4
45,4
46,4
47,3
48,4
49,3
50,2
51,2
52,3
53,2
54,4
55,2
56,4
57,1
58,2
59,4
60,1
61,2
62,3
63,1
64,2
65,2
66,3
67,4
68,3
69,4
70,4
71,2
72,4
73,1
74,2
75,4
76,4
77,2
78,2
79,1
80,2
81,2
82,3
83,3
84,4
85,1
86,1
87,4
88,1
89,1
90,2
91,1
92,1
93,3
94,2
95,3
96,1
97,4
98,2
99,4
100,1
101,1
102,3
103,3
104,1
105,1
106,3
107,4
108,1
109,3
110,2
111,4
112,4
113,1
114,3
115,2
116,1
117,4
118,2
119,3
120,2
121,4
122,3
123,4
124,1
125,3
126,1
127,4
128,2
129,3
130,3
131,1
132,2
133,1
134,4
135,2
136,3
137,1
138,2
139,2
140,3
141,4
142,3
143,1
144,1
145,1
146,2
147,3
148,4
149,3
150,2
151,4
152,1
153,4
154,4
155,2
156,3
157,4
158,2
159,4
160,1
161,3
162,2
163,4
164,4
165,2
166,3
167,1
168,2
169,3
170,4
171,1
172,2
173,1
174,4
175,3
176,4
177,3
178,4
179,2
180,3
181,3
182,3
183,2
184,1
185,3
186,3
187,2
188,3
189,2
190,3
191,1
192,2
193,1
194,2
195,4
196,3
197,2
198,2
199,3
200,4
201,3
202,1
203,1
204,1
205,1
206,4
207,4
208,2
209,2
210,3
211,1
212,3
213,2
214,4
215,3
216,4
217,3
218,2
219,2
220,4
221,4
222,3
223,4
224,1
225,1
226,4
227,2
228,3
